dataset,experiment,experiment_label,model,top_k,num_questions,num_poisoned_targets,accuracy,hallucination_rate,self_consistency
fever,exp1_baseline,Exp 1: real evidence only (baseline),llama-3.3-70b-versatile,4,10,6,1.0,0.0,
fever,exp2_poisoned,"Exp 2: real + poisoned, NO verification",llama-3.3-70b-versatile,4,10,6,0.9,0.0,
fever,exp3_poisoned_verify,"Exp 3: real + poisoned, WITH verification",llama-3.3-70b-versatile,4,10,6,0.6,0.5,
hotpotqa,exp1_baseline,Exp 1: real evidence only (baseline),llama-3.3-70b-versatile,4,10,10,0.5,0.3,
hotpotqa,exp2_poisoned,"Exp 2: real + poisoned, NO verification",llama-3.3-70b-versatile,4,10,10,0.5,0.6,
hotpotqa,exp3_poisoned_verify,"Exp 3: real + poisoned, WITH verification",llama-3.3-70b-versatile,4,10,10,0.6,0.7,
synthetic,exp1_baseline,Exp 1: real evidence only (baseline),llama-3.3-70b-versatile,4,10,10,1.0,0.0,
synthetic,exp2_poisoned,"Exp 2: real + poisoned, NO verification",llama-3.3-70b-versatile,4,10,10,1.0,1.0,
synthetic,exp3_poisoned_verify,"Exp 3: real + poisoned, WITH verification",llama-3.3-70b-versatile,4,10,10,1.0,1.0,
